Project,Latitude,Longitude,Site,Start BCE,End BCE,Specimen Count,EOL URI,EOL Taxa Label,Analyst Taxanomic Designation (Source data)
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,163,http://eol.org/pages/313992,"Dama dama (Linnaeus, 1758)",Dama dama
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,50,http://eol.org/pages/4447460,Capra aegagrus,Capra aegagrus
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,32,http://eol.org/pages/11021638,Ovis orientalis,Ovis orientalis
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,31,http://eol.org/pages/695,Aves,Large bird; Medium bird; Small bird
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,14,http://eol.org/pages/328663,Sus scrofa,Sus scrofa
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,13,http://eol.org/pages/1055221,Testudo graeca,Testudo graeca
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,13,http://eol.org/pages/15610,Capreolus,Capreolus capreolus
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,11,http://eol.org/pages/7662,Carnivora,Small carnivore
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,10,http://eol.org/pages/328609,"Vulpes vulpes (Linnaeus, 1758)",Vulpes vulpes
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,7,http://eol.org/pages/328020,Martes martes,Martes martes
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,5,http://eol.org/pages/118009,Lepus europaeus,Lepus europaeus
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,5,http://eol.org/pages/8677,Rodentia,Rodent
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,3,http://eol.org/pages/1041051,Spermophilus citellus,Citellus citellus
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,3,http://eol.org/pages/328605,Felis silvestris Schreber 1777,Felis silvestris
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,2,http://eol.org/pages/1708,Lacertidae,Lacertid
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,2,http://eol.org/pages/328649,"Cervus elaphus Linnaeus, 1758",Cervus elaphus
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,1,http://eol.org/pages/1049239,"Alectoris chukar (J. E. Gray, 1830)",Alectoris chukar
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,1,http://eol.org/pages/1556,Bufonidae,Bufonid
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,13850,13650,1,http://eol.org/pages/7511,Ranidae,Ranid
Erbaba Höyük and Suberde Zooarchaeology,37.35,31.933333,Suberde,9450,8950,176,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra
Erbaba Höyük and Suberde Zooarchaeology,37.35,31.933333,Suberde,9450,8950,84,http://eol.org/pages/39510,Ovis,Ovis sp.
Erbaba Höyük and Suberde Zooarchaeology,37.35,31.933333,Suberde,9450,8950,35,http://eol.org/pages/42318,Sus,Sus scrofa
Erbaba Höyük and Suberde Zooarchaeology,37.35,31.933333,Suberde,9450,8950,31,http://eol.org/pages/7678,Artiodactyla,medium-sized artiodactyl (mostly Ovis/Capra/deer); medium-sized bovid/cervid
Erbaba Höyük and Suberde Zooarchaeology,37.35,31.933333,Suberde,9450,8950,23,http://eol.org/pages/42403,Capra,Capra sp.
Erbaba Höyük and Suberde Zooarchaeology,37.35,31.933333,Suberde,9450,8950,7,http://eol.org/pages/1642,Mammalia,large mammal (Bos); medium-sized mammal (Ovis/Capra/Gazella)
Erbaba Höyük and Suberde Zooarchaeology,37.35,31.933333,Suberde,9450,8950,2,http://eol.org/pages/39513,Antilope,Antilope
Erbaba Höyük and Suberde Zooarchaeology,37.35,31.933333,Suberde,9450,8950,1,http://eol.org/pages/312855,Caracal caracal,Caracal
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,7455,http://eol.org/pages/1642,Mammalia,Aurochs/bison size (larger than medium cattle); Cow-size (cattle/red deer/horse); Hare-size (rabbit to medium dog); Medium dog to wild boar; Medium sheep to medium cattle; Microfauna (smaller than rabbit); Pig-size; Sheep-size (medium dog to medium sheep)
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,1927,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,1778,http://eol.org/pages/7678,Artiodactyla,Large artiodactyl; Medium artiodactyl; Ovis/Capra/Capreolus
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,599,[No EOL URI assigned] ,,; Flot fragments
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,7950,512,http://eol.org/pages/1642,Mammalia,Cow-size (cattle/red deer/horse); Hare-size (rabbit to medium dog); Medium sheep to medium cattle; Pig-size; Sheep-size (medium dog to medium sheep)
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,457,http://eol.org/pages/34548,Bos,Bos
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,263,http://eol.org/pages/39510,Ovis,Ovis
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,7950,175,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,172,http://eol.org/pages/328663,Sus scrofa,Sus scrofa
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,149,http://eol.org/pages/1670,Equidae,Equus sp.; Large equid; Small-medium equid
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,7950,101,http://eol.org/pages/34548,Bos,Bos
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,7950,84,http://eol.org/pages/39510,Ovis,Ovis
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,76,http://eol.org/pages/1228387,Canis lupus familiaris,Canis familiaris
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,60,http://eol.org/pages/7662,Carnivora,Medium carnivore; Small carnivore
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,54,http://eol.org/pages/42403,Capra,Capra
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,7950,39,http://eol.org/pages/7678,Artiodactyla,Large artiodactyl; Ovis/Capra/Capreolus
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,32,http://eol.org/pages/19076,Vulpes,Vulpes sp.
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,23,http://eol.org/pages/328649,"Cervus elaphus Linnaeus, 1758",Cervus elaphus
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,20,http://eol.org/pages/10840,Lepus,Lepus
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,19,http://eol.org/pages/7685,Cervidae,Large cervid; Small cervid
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,7950,17,[No EOL URI assigned] ,,; Flot fragments
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,15,http://eol.org/pages/328609,"Vulpes vulpes (Linnaeus, 1758)",Vulpes vulpes
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,15,http://eol.org/pages/4451944,Equus hydruntinus,Equus hydruntinus
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,7950,14,http://eol.org/pages/42403,Capra,Capra
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,14,http://eol.org/pages/327955,"Homo sapiens Linnaeus, 1758",Homo
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,8,http://eol.org/pages/7670,Mustelidae,Large mustelid; Small mustelid
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,7,http://eol.org/pages/311507,"Equus hemionus Pallas, 1775",Equus hemionus
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,7,http://eol.org/pages/7676,Canidae,Medium canid; Small canid
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,7950,6,http://eol.org/pages/7685,Cervidae,Large cervid
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,7950,5,http://eol.org/pages/1670,Equidae,Equus sp.; Small-medium equid
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,7950,5,http://eol.org/pages/328663,Sus scrofa,Sus scrofa
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,5,http://eol.org/pages/328046,"Meles meles (Linnaeus, 1758)",Meles meles
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,8950,5,http://eol.org/pages/328648,"Equus caballus Linnaeus, 1758",Equus caballus
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,7950,4,http://eol.org/pages/327955,"Homo sapiens Linnaeus, 1758",Homo
Çatalhöyük Zooarchaeology,37.668196,32.827191,Çatalhöyük,9350,7950,4,http://eol.org/pages/328649,"Cervus elaphus Linnaeus, 1758",Cervus elaphus
